我	wō	Я
你好	nǐhǎo	Привет
叫	jiào	звать называться
是	shì	быть
俄罗斯	éluósī	Россия русский
人	rén	человек
学生	xuéshēng	ученик
老师	lǎoshī	учитель
对不起	duìbuqǐ	извините извиняться
没关系	méi	guānxi	ничего	страшного все в	порядке
谢谢	xièxiè	спасибо
不谢	búxiè	не за что
谢谢你	xièxie	nǐ	спасибо вам
不客气	bú	kèqi	пожалуйста
再见	zài	jiàn	до свидания
什么	shénme	что, какой
吗	ma	вопросительная частица
名字	míngzi	имя
中国	zhōngguó	Китай
美国	měiguó	Америка
这	zhè		этот
书	shū		книга
不	bù	нет, не
你	nǐ	ты
他	tā	он
她	tā	она
医生	yīshēng	врач
谁	shéi	кто кого
哪	nǎ	какой
的	de	частица приналдежность
汉语	hànyǔ	Китайский язык
国	guó	страна
呢	ne	вопросит частица
同学	tóngxué	одноклассник
朋友	péngyou	друг
本	běn	счетное слово для книги
个	gè	общее	счетное слово
家	jiā	семья
有	yǒu	иметь
口	kǒu	счетное слово для членов семьи
奴儿	nu'ér	дочь
几	jǐ	сколько
岁	suì	год, возраст
了	le	частица
今年	jīnnián	этот год
四	sì	четыре
多	duō	наречие	как	насколько
大	dà	лет, старший
想	xiǎng	хотел бы
喝	hē	пить
吃	chī	есть
茶	chá		чай
米饭	mǐfàn	готовый рис
下午	xiàwǔ	днём	
商店	shāngdiàn	магазин
买	mǎi		покупать
杯子	bēizi		кружка
多少	duōshao		сколько
钱	qián		деньги
块	kuài		юань
那	nà		тот, те
水	shuǐ		вода
咖啡	kāfēi		кофе
牛奶	niú	nǎi		молоко
奶茶	nǎichá		молочный чай
可乐	kělè		кола
果汁	guǒzhī		сок
酒	jiǔ		алкоголь
要	yào		хотеть
饮料	yǐnliào		напитки
面	miàn		лапша
包子	bāozi		булочки на пару, манты
饺子	jiǎozi	пельмени
面包	miànbāo	хлеб
饼	bǐng	лепешка, блин
肉	ròu		мясо
猪	zhū	свинья, свинина
牛	niú	корова
鸡	jī		курица
鱼	yú		рыба
蛋	dàn	яйцо
菜	cài	блюдо, овощи
零	líng	ноль
一	yī		один
二	èr	два
两	liǎng	два, количество
三	sān	3
五	wǔ	5
六	liù	6
七	qī	7
八	bā	8
九	jiǔ	9
十	shí	10
多少钱	duōshǎoqián	Сколько стоит?
们	men	суффикс множественного числа для местоимений
奴朋友	nǚpéngyou девушка
男朋友	nánpéngyou любимый, парень
会	huì	уметь, мочь
说	shuō	говорить	
妈妈	māma	мама
爸爸	bàba	папа
弟弟	dìdi	младший брат
妹妹	mèimei	младшая сестра
父母	fùmǔ	родители
儿子	érzi	сын
孩子	háizi	ребенок
兄弟姐妹	xiōngdì	jiěmèi	братья и сестры
哥哥	gēge	старший брат
姐姐	jiějie	старшая сестра
爱人	àirén	супруг, супруга
老板	lǎobǎn	босс, начальник
同事	tóngshì	коллега
元	yuán	юань
毛	máo	цзяо неформ
角	jiǎo	дзяо форм
分	fēn	минута		фэнь, 1\100 юаня
太	tài	слишком
贵	guì	дорогой
双	shuāng	счетное слово для парных вещей
杯	bēi	счетное слово для кружек, стаканов
也	yě	тоже, также
很	hěn	очень
忙	máng	занятый
喜欢	xǐhuan	нравиться, любить
高兴	gāoxìng	радостный, радоваться
好吃	hǎochī	вкусно
和	и	hé
水果	shuǐguǒ	фрукт
吃饭	chīfàn	принимать пищу
请问	qǐngwèn	позвольте спросить
百	bǎi	сто
千	qiān	тысяча
万	wàn	десять тысяч
苹果	píngguǒ	яблоко
斤	jīn	цзинь, единица веса=1/2кг
小	xiǎo	маленький	молодой
便宜	piányi	дешёвый
一点	yīdiǎn	немного, чуть-чуть
好吧	hǎo ba	хорошо!
甜	tián	сладкий
现在	xiànzài	сейчас
今天	jīntiān	сегодня
明天	míngtiān	завтра
昨天	zuótiān	вчера
点	diǎn	час
分钟	fēnzhōng	минута
在	zài	находиться в, на
学校	xuéxiào	школа, учебное заведение
上海	Shànghǎi	Шанхай
咖啡馆	kāfēiguǎn	кафе, кофейня
公司	gōngsī	фирма, компания
东西	dōngxi	вещь, предмет
工作	gōngzuò	работа, работать
但是	dànshì	но
时候	shíhou	время
什么时候	shénme shíhou	Когда? Во сколько?
英文	yīngwén	Английский язык
早上	zǎoshang	утро
读	dú	читать
电影	diànyǐng	фильм, кино
看	kàn	смотреть, читать
出租车	chūzūchē	такси
坐	zuò	сидеть, ехать на
学习	xuéxí	учить, учиться
红	hóng	красный
去	qù	идти, ехать
怎么	zěnme	Как? Почему?
怎么走	zěnme zǒu	Как добраться…?
下雨	xiàyǔ	идёт дождь
回	huí	возвращаться
做	zuò	делать
车	chē	машина, транспортное средство
开	kāi	открывать, начинаться, управлять транспортным средством
椅子	yǐzi	стул
为什么	wèishénme	Почему?
书店	shūdiàn	книжный магазин
先生	xiānsheng	мистер, господин муж
女士	nǚshì	дама, госпожа
上	shàng	начинать, верхний, над, на
医院	yīyuàn	больница
认识	rènshi	знать, быть знакомым
学院	xuéyuàn	институт
教	jiāo	обучать, преподавать
请	qǐng	приглашать, просить, пожалуйста
问	wèn	спрашивать
一下	yīxià	немного, разок
工人	gōngrén	рабочий
字	zì	иероглиф, символ
女	nǚ	женщина
没有	méiyǒu	не, нет
汽车	qìchē	машина, автомобиль
大学	dàxué	университет
大学生	dàxuéshēng	студент
男	nán	мужчина
月	yuè	месяц
号	hào	число, дата
星期	xīngqī	неделя
写	xiě	писать
说话	shuōhuà	говорить, разговаривать
汉字	hànzì	китайский иероглиф
中文	Hànyǔ	китайский	язык
难	nán	трудный
看见	kànjiàn	увидеть
下边	xiàbiān	низ, внизу
下	xià	внизу, под, нижний
左边	zuǒbiān	слева, левая сторона
左	zuǒ	лево, левый
本子	běnzi	тетрадь
右边	yòubiān	справа, правая сторона
右	yòu	право, правый
钱包	qiánbāo	кошелёк
听	tīng	слушать, слышать
听见	tīngjiàn	услышать
外边	wàibiān	снаружи
吧	bā	частица
门	mén	дверь, ворота, вход
里	lǐ	внутри
里边	lǐbiān	внутри
能	néng	мочь, быть в состоянии
前边	qiánbiān	впереди
前	qián	перед, до, передний
后边	hòu bian	позади
后	hòu	задний назад, после потом
没事儿	méishì	ничего не случилось, ничего особенного ничего страшного
课本	kèběn	учебник
桌子	zhuōzi	стол
上边	shàngbiān	верх, наверху
电脑	diànnǎo	компьютер
电	diàn	электричество
那儿	nàr	там туда
这儿	zhèr	здесь, сейчас
电视	diànshì	телевизор, телевидение
家里	jiāli	дома
饭	fàn	еда
中午	zhōngwǔ	полдень
跟	gēn	с, следовать
一起	yīqǐ	вместе
电影院	diànyǐngyuàn	кинотеатр
回家	huíjiā	возвращаться домой
票	piào	билет
北京	Běijīng	Пекин
住	zhù	жить
差	chà	недоставать, без
晚上	wǎnshang	вечер
打球	dǎqiú	играть, мячом
球	qiú	мяч
打	dǎ	играть
天	tiān	день, небо
上班	shàngbān	ходить на работу, начинать работу
下班	xià bān	закончить работу
半	bàn	половина
饭店	fàndiàn	ресторан, отель
饭馆	fànguǎn	ресторан
